timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.65547E+12,166,cart,200,OK,Idlers 2-42,text,TRUE,,1843,117,195,225,http://localhost/cart,166,0,0,,
1.65547E+12,98,profile,200,OK,Idlers 2-47,text,TRUE,,3673,120,195,225,http://localhost/profile,98,0,0,,
1.65547E+12,490,Main menu,200,OK,Idlers 2-32,text,TRUE,,801,113,195,225,http://localhost/,490,0,1,,
1.65547E+12,246,cart,200,OK,Idlers 2-28,text,TRUE,,1843,117,196,226,http://localhost/cart,246,0,0,,
1.65547E+12,558,Login,200,OK,Workers 1-2,text,TRUE,,3192,789,30,227,http://localhost/login,558,0,1,,
1.65547E+12,239,Main menu,200,OK,Idlers 2-117,text,TRUE,,802,113,197,227,http://localhost/,239,0,0,,
1.65547E+12,293,Main menu,200,OK,Idlers 2-100,text,TRUE,,802,113,198,228,http://localhost/,293,0,1,,
1.65547E+12,297,Main menu,200,OK,Idlers 2-99,text,TRUE,,802,113,198,228,http://localhost/,297,0,0,,
1.65547E+12,412,Main menu,200,OK,Idlers 2-62,text,TRUE,,801,113,199,230,http://localhost/,412,0,0,,
1.65547E+12,8,cart,200,OK,Idlers 2-100,text,TRUE,,1843,117,200,231,http://localhost/cart,8,0,0,,
1.65547E+12,98,cart,200,OK,Idlers 2-78,text,TRUE,,1843,117,201,232,http://localhost/cart,98,0,0,,
1.65547E+12,104,cart,200,OK,Idlers 2-16,text,TRUE,,1843,117,201,232,http://localhost/cart,104,0,0,,
1.65547E+12,6,profile,200,OK,Idlers 2-100,text,TRUE,,3674,120,202,233,http://localhost/profile,6,0,0,,
1.65547E+12,165,cart,200,OK,Idlers 2-43,text,TRUE,,1843,117,202,233,http://localhost/cart,165,0,0,,
1.65547E+12,266,cart,200,OK,Idlers 2-9,text,TRUE,,1844,117,202,233,http://localhost/cart,266,0,0,,
1.65547E+12,253,Main menu,200,OK,Idlers 2-119,text,TRUE,,802,113,203,234,http://localhost/,253,0,1,,
1.65547E+12,229,Main menu,200,OK,Idlers 2-128,text,TRUE,,802,113,203,234,http://localhost/,229,0,0,,
1.65547E+12,220,cart,200,OK,Idlers 2-4,text,TRUE,,1843,117,205,237,http://localhost/cart,220,0,0,,
1.65547E+12,405,Main menu,200,OK,Idlers 2-72,text,TRUE,,800,113,207,239,http://localhost/,405,0,0,,
1.65547E+12,551,Main menu,200,OK,Idlers 2-24,text,TRUE,,801,113,207,239,http://localhost/,551,0,1,,
