timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.65531E+12,1055,Login,200,OK,Workers 1-31,text,TRUE,,3194,805,300,453,http://localhost/login,1055,0,1,,,,
1.65531E+12,1121,Login,200,OK,Workers 1-11,text,TRUE,,3193,810,300,453,http://localhost/login,1121,0,1,,,,
1.65531E+12,592,Login,200,OK,Workers 1-188,text,TRUE,,3195,801,300,453,http://localhost/login,592,0,0,,,,
1.65531E+12,270,Login,200,OK,Workers 1-294,text,TRUE,,3196,786,300,453,http://localhost/login,270,0,0,,,,
1.65531E+12,522,Login,200,OK,Workers 1-212,text,TRUE,,3196,791,300,453,http://localhost/login,522,0,1,,,,
1.65531E+12,324,addProductToCart,200,OK,Workers 1-53,text,TRUE,,3273,843,300,453,http://localhost/addToCart,324,0,0,,,,
1.65531E+12,892,Login,200,OK,Workers 1-90,text,TRUE,,3195,785,300,453,http://localhost/login,891,0,0,,,,
1.65531E+12,277,Login,200,OK,Workers 1-299,text,TRUE,,3194,811,300,453,http://localhost/login,277,0,0,,,,
1.65531E+12,1070,Login,200,OK,Workers 1-36,text,TRUE,,3192,785,300,453,http://localhost/login,1070,0,0,,,,
1.65531E+12,942,Login,200,OK,Workers 1-79,text,TRUE,,3194,785,300,453,http://localhost/login,942,0,0,,,,
1.65531E+12,955,Login,200,OK,Workers 1-75,text,TRUE,,3194,800,300,453,http://localhost/login,955,0,2,,,,
1.65531E+12,930,Login,200,OK,Workers 1-83,text,TRUE,,3194,800,300,453,http://localhost/login,930,0,0,,,,
1.65531E+12,898,Login,200,OK,Workers 1-94,text,TRUE,,3194,785,300,453,http://localhost/login,898,0,0,,,,
1.65531E+12,555,Login,200,OK,Workers 1-211,text,TRUE,,3195,791,300,453,http://localhost/login,555,0,1,,,,
1.65531E+12,906,Login,200,OK,Workers 1-93,text,TRUE,,3194,805,300,452,http://localhost/login,906,0,0,,,,
1.65531E+12,974,Login,200,OK,Workers 1-73,text,TRUE,,3193,815,300,450,http://localhost/login,974,0,0,,,,
1.65531E+12,662,addProductToCart,200,OK,Workers 1-138,text,TRUE,,3273,808,300,426,http://localhost/addToCart,662,0,0,,,,
1.65531E+12,1101,Login,200,OK,Workers 1-41,text,TRUE,,3193,795,300,422,http://localhost/login,1101,0,1,,,,
1.65531E+12,1004,Login,200,OK,Workers 1-81,text,TRUE,,3195,800,300,407,http://localhost/login,1004,0,0,,,,
1.65531E+12,994,Login,200,OK,Workers 1-84,text,TRUE,,3194,785,300,407,http://localhost/login,994,0,0,,,,
1.65531E+12,542,addProductToCart,200,OK,Workers 1-68,text,TRUE,,3274,798,300,407,http://localhost/addToCart,542,0,0,,,,
1.65531E+12,361,Login,200,OK,Workers 1-297,text,TRUE,,3194,821,300,407,http://localhost/login,361,0,0,,,,
1.65531E+12,976,Login,200,OK,Workers 1-92,text,TRUE,,3193,800,300,407,http://localhost/login,976,0,1,,,,
1.65531E+12,550,Login,200,OK,Workers 1-237,text,TRUE,,3195,831,300,407,http://localhost/login,550,0,1,,,,
1.65531E+12,653,Login,200,OK,Workers 1-203,text,TRUE,,3195,831,300,407,http://localhost/login,653,0,0,,,,
1.65531E+12,634,Login,200,OK,Workers 1-210,text,TRUE,,3195,836,300,407,http://localhost/login,634,0,0,,,,
1.65531E+12,999,Login,200,OK,Workers 1-88,text,TRUE,,3194,800,300,406,http://localhost/login,999,0,2,,,,
1.65531E+12,645,Login,200,OK,Workers 1-207,text,TRUE,,3196,801,300,405,http://localhost/login,645,0,0,,,,
1.65531E+12,675,Login,200,OK,Workers 1-202,text,TRUE,,3195,806,300,399,http://localhost/login,675,0,0,,,,
1.65531E+12,662,Login,200,OK,Workers 1-206,text,TRUE,,3194,826,300,399,http://localhost/login,662,0,0,,,,
1.65531E+12,682,Login,200,OK,Workers 1-200,text,TRUE,,3194,831,300,399,http://localhost/login,682,0,1,,,,
1.65531E+12,679,Login,200,OK,Workers 1-201,text,TRUE,,3194,801,300,398,http://localhost/login,679,0,1,,,,
