timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1655465385442,0,Debug Sampler,200,OK,Workers 1-181,text,true,,444,0,173,310,null,0,0,0
1655465385442,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-182,text,false,,2328,0,172,309,http://localhost/register,0,0,0
1655465385443,2,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-182,text,false,,2328,0,172,308,http://localhost/login,0,0,2
1655465385447,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-183,text,false,,2328,0,174,312,http://localhost/register,0,0,1
1655465385445,2,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-182,text,false,,2628,0,174,312,http://localhost/openStore,0,0,2
1655465385449,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-183,text,false,,2328,0,174,312,http://localhost/login,0,0,0
1655465385449,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-182,text,false,,2628,0,174,312,http://localhost/logout,0,0,0
1655465385449,0,Debug Sampler,200,OK,Workers 1-182,text,true,,444,0,174,312,null,0,0,0
1655465385449,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-184,text,false,,2328,0,174,313,http://localhost/register,0,0,0
1655465385449,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-183,text,false,,2628,0,173,310,http://localhost/openStore,0,0,1
1655465385450,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-184,text,false,,2328,0,173,310,http://localhost/login,0,0,1
1655465385450,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-183,text,false,,2628,0,173,310,http://localhost/logout,0,0,1
1655465385451,0,Debug Sampler,200,OK,Workers 1-183,text,true,,444,0,173,310,null,0,0,0
1655465385451,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-184,text,false,,2628,0,173,309,http://localhost/openStore,0,0,1
1655465385453,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-185,text,false,,2328,0,174,311,http://localhost/register,0,0,1
1655465385452,2,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-184,text,false,,2628,0,174,311,http://localhost/logout,0,0,2
1655465385454,0,Debug Sampler,200,OK,Workers 1-184,text,true,,444,0,174,311,null,0,0,0
1655465385454,0,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-186,text,false,,2328,0,173,310,http://localhost/register,0,0,0
1655465385454,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-185,text,false,,2328,0,173,310,http://localhost/login,0,0,1
1655465385455,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-186,text,false,,2328,0,173,309,http://localhost/login,0,0,0
1655465385455,0,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-185,text,false,,2628,0,173,309,http://localhost/openStore,0,0,0
1655465385455,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-186,text,false,,2628,0,173,309,http://localhost/openStore,0,0,1
1655465385456,0,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-185,text,false,,2628,0,173,309,http://localhost/logout,0,0,0
1655465385456,0,Debug Sampler,200,OK,Workers 1-185,text,true,,444,0,173,309,null,0,0,0
1655465385456,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-186,text,false,,2628,0,173,310,http://localhost/logout,0,0,1
1655465385457,0,Debug Sampler,200,OK,Workers 1-186,text,true,,444,0,173,310,null,0,0,0
1655465385457,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-187,text,false,,2328,0,172,310,http://localhost/register,0,0,1
1655465385458,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-187,text,false,,2328,0,172,309,http://localhost/login,0,0,0
1655465385458,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-187,text,false,,2628,0,172,308,http://localhost/openStore,0,0,1
1655465385459,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-187,text,false,,2628,0,172,308,http://localhost/logout,0,0,1
1655465385460,0,Debug Sampler,200,OK,Workers 1-187,text,true,,444,0,172,308,null,0,0,0
1655465385461,2,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-188,text,false,,2328,0,173,310,http://localhost/register,0,0,2
1655465385463,1,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-188,text,false,,2328,0,173,309,http://localhost/login,0,0,1
1655465385464,1,Register,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-189,text,false,,2328,0,173,309,http://localhost/register,0,0,1
1655465385464,1,Open store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-188,text,false,,2628,0,173,309,http://localhost/openStore,0,0,1
1655465385465,0,Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Workers 1-189,text,false,,2328,0,173,310,http://localhost/login,0,0,0
1655465385465,1,logout,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Workers 1-188,text,false,,2628,0,173,310,http://localhost/logout,0,0,1
1655465385466,0,Debug Sampler,200,OK,Workers 1-188,text,true,,444,0,173,310,null,0,0,0
